ID,単語,日本語
454,as ～ as A,Aと同じくらい～
455,at,（時刻/場所）～に/～で
456,because ～,なぜならば～なので
457,before,～の前に/以前
458,behind,～の後ろ側に
459,beside,～のそばに
460,between A and B,AとBの間で
461,both A and B,AとBの両方
462,by ～,～のそばで/～までに
463,during ～,～の期間ずっと
464,for ～,～のために/～の間
465,from ～,～から
466,if ～,もし～ならば
467,in ～,～の中
468,into ～,～の中に
469,like ～,～のように
470,near ～,～の近くで
471,of ～,～の
472,on ～,～の上/（日）～に
473,or ～,または～
474,over ～,～をこえて/～至る所
475,than ～,～よりも
476,that ～,～だと
477,through ～,～を通って/～によって
478,till ～/until ～,～までずっと
479,to ～,～へ/～まで
480,under ～,～の下
481,with ～,～といっしょに/～を使って
482,without ～,～なしで/～しないで
483,when ～,～の時
484,自分で確認,すべての曜日
485,自分で確認,すべての月名
486,自分で確認,すべての季節
487,spring,春/ばね/温泉
488,自分で確認,0～99
489,hundred,100
490,thousand,"1,000"
491,ten thousand,"10,000"
492,"～dollar(s), $",～ドル
493,first / second,1番目/最初/2番目
494,third / fourth,3番目/4番目
495,fifth / eighth,5番目/8番目
496,ninth / twelfth,9番目/12番目
497,twentieth / thirtieth,20番目/30番目
498,child / children,子ども 単数/複数
499,man / men,男性 単数/複数
500,woman / women,女性 単数/複数
501,tooth / teeth,歯 単数/複数
502,foot / feet,足 単数/複数
503,knife / knives,ナイフ 単数/複数
504,leaf / leaves,葉 単数/複数
505,fish / fish,魚 単数/複数
506,sheep / sheep,羊 単数/複数
507,Japanese / Japanese,日本人 単数/複数
508,nursery school,保育園
509,kindergarten,幼稚園
510,elementary school,小学校
511,junior high school,中学校
512,high school,高校
513,college,（単科）大学/専門学校
514,university,総合大学
515,activity,活動
516,actor,俳優
517,age,年令/時代
518,anyone,（否）だれも～ない/（疑）だれか
519,anything,（否）何も～ない
520,area,区域
521,art,芸術/美術
522,article,記事
523,athlete,運動選手
524,aunt / uncle,おば/おじ
525,bathroom,お風呂場/トイレ
526,birthday,誕生日
527,blossom,（実のなる木の）花
528,bottle,びん
529,bridge,橋
530,care,世話
531,case,場合
532,center,中心
533,century,世紀
534,childhood,子どもの頃
535,chorus,コーラス
536,church,教会
537,clerk/salesclerk,店員
538,clothes,衣服
539,community,共同体
540,company,会社
541,conference,会議
542,contact,接触
543,content,中身/内容
544,convenience,便利
545,corner,角/曲がり角
546,country,国/いなか
547,cousin,いとこ
548,crowd,群集/人ごみ
549,culture,文化
550,custom,習慣
551,customer,客
552,daughter / son,娘/息子
553,dentist,歯医者
554,detail,詳細
555,dictionary,辞書
556,dinosaur,恐竜
557,dream,夢
558,earth,地球
559,earthquake,地震
560,effort,努力
561,electricity,電気
562,engineer,技術者/エンジニア
563,east / west,東/西
564,south / north,南/北
565,environment,環境
566,event,行事
567,everyone,みなさん
568,everything,なんでも/すべてのこと
569,experience,経験
570,factory,工場
571,feature,特徴/特色
572,feeling,気持ち
573,festival,祭り
574,fever,熱
575,field,野原/畑
576,fireworks,花火
577,floor,床/～階
578,forest,森
579,fossil,化石
580,freedom,自由
581,fridge,冷蔵庫
582,front,前/正面
583,fun,楽しいこと
584,future,未来/将来
585,gift,贈り物
586,goods,品物
587,grandma/grandpa,おばあちゃん/おじいちゃん
588,Mom / Dad,ママ/パパ
589,greeting,あいさつ
590,group,グループ
591,guest,客
592,guide,ガイド/案内人
593,headache,頭痛
594,heart,心
595,herself,彼女自身
596,himself,彼自身
597,history,歴史
598,hobby,趣味
599,hole,穴
600,holiday,休日
601,human,人間
602,husband,夫
603,information,情報
604,invention,発明
605,island,島
606,job,仕事
607,kindness,親切
608,knowledge,知識
609,lake,湖
610,land,土地
611,language,言語
612,lawyer,弁護士
613,line,行/列/線
614,ma'am,（女性に対して）お客様
615,market,市場
616,mayor,市長
617,meaning,意味
618,medicine,薬
619,memory,思い出
620,middle,真ん中
621,museum,博物館
622,musician,音楽家
623,myself,私自身
624,nature,自然
625,neighbor,隣人
626,neighborhood,近所
627,no,一つも～ない
628,note,メモ
629,nothing,何もない
630,number,数
631,office,事務所
632,parent/parents,親/両親
633,party,パーティー
